Date_measurement,RNA_flow_per_100000_VR01,RNA_flow_per_100000_VR02,RNA_flow_per_100000_VR03,RNA_flow_per_100000_VR04,RNA_flow_per_100000_VR05,RNA_flow_per_100000_VR06,RNA_flow_per_100000_VR07,RNA_flow_per_100000_VR08,RNA_flow_per_100000_VR09,RNA_flow_per_100000_VR10,RNA_flow_per_100000_VR11,RNA_flow_per_100000_VR12,RNA_flow_per_100000_VR13,RNA_flow_per_100000_VR14,RNA_flow_per_100000_VR15,RNA_flow_per_100000_VR16,RNA_flow_per_100000_VR17,RNA_flow_per_100000_VR18,RNA_flow_per_100000_VR19,RNA_flow_per_100000_VR20,RNA_flow_per_100000_VR21,RNA_flow_per_100000_VR22,RNA_flow_per_100000_VR23,RNA_flow_per_100000_VR24,RNA_flow_per_100000_VR25
2020-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34379570097909,242389228486,0,0,0,0
2020-03-31,3108438659522,1338182657071,3742562772116,2105490678118,0,0,0,0,10827397293370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,0,0,422261257463,0,2889257902068,9570410949669,4142168099248,631582968477,0,0,0,12541125905949,281531936,0,0,328477385992,0,0,1807970874239,2846987482214,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0,0,1854086906047,4304704776110,7304759060399,0,0,0,0,0,0,0,0,0,0,6499009824779,14158892717090,0
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,0,0,0,9129040886,0,0,684061643,0,6825241326265,0,0,0,0,0,0,0,0,0,2597069863354,2609848531,26121985390111,3409238272,0,0,4139512576297
2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2848589416197,32030126422868,0,0,0,0
2020-04-07,4161447116394,1913072530284,74482979527,2852013917217,0,0,318275575674,48529520787,5522379130873,0,0,5507867108765,65128481,0,0,75988655091,0,0,1982044139922,0,0,0,0,0,0
2020-04-08,0,0,64754365945,12889265284,1120520502093,7349210720329,0,0,0,862336859179,2002120604064,3397447533153,0,0,0,0,0,0,0,2080279903741,0,0,1607412997389,6949419408821,7143135805133
2020-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019156544,32162979569627,0,0,0,0
2020-04-10,0,0,0,0,0,0,14126387561561,2153941022242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,330922884609,0,0,0,0,0,221558773,0,2210607929453,0,0,1024648281424,40862001,0,3650975281990,47675740290,0,0,0,9526604934673,9299068245753,1800148356,0,0,0
2020-04-14,101279058114,201232320155,30372915281,2126558342520,0,0,0,0,3477408198160,0,0,0,0,0,0,0,0,0,535453410396,0,0,0,0,0,0
2020-04-15,0,0,17991901678,7875756159,484885903293,2204835279214,0,0,0,248476106577,576896519381,978949845818,0,0,0,0,0,0,0,0,2310990094275,450624911,581547949280,1274002684204,3211078199802
2020-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259346729916,572777907015,12745863247938,0,0,0,0
2020-04-17,0,0,0,0,0,0,484770103143,73916010513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,0,0,0,0,0,0,460348042,0,4593133551754,0,0,26779101589,143973664,0,0,167981273006,0,0,0,0,0,0,0,0,0
